epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,917.324,0.83837,1.10661,2.28358,0.39133,0.56889,0.49548,0.37645,2.96967,3.69621,3.69784,0.000650791,0.000650791,0.000650791
43,937.843,0.87341,1.1517,2.29596,0.53037,0.52136,0.49464,0.33074,3.28575,3.9606,3.97862,0.00064675,0.00064675,0.00064675
44,958.517,0.83995,1.08845,2.27449,0.40671,0.5041,0.50361,0.38421,3.10769,3.62255,3.74332,0.000642708,0.000642708,0.000642708
45,979.06,0.85545,1.10101,2.28411,0.41658,0.5626,0.48677,0.34174,3.44745,4.18954,4.09292,0.000638666,0.000638666,0.000638666
46,999.661,0.84176,1.07354,2.26646,0.37031,0.6166,0.47815,0.36715,3.17625,4.08003,3.93175,0.000634625,0.000634625,0.000634625
47,1020.46,0.82655,1.06165,2.27133,0.49459,0.57884,0.58321,0.4257,3.00633,3.45694,3.71991,0.000630583,0.000630583,0.000630583
48,1040.88,0.84069,1.04094,2.26908,0.42981,0.52379,0.49317,0.35748,3.24603,3.95792,3.82255,0.000626541,0.000626541,0.000626541
49,1061.59,0.82662,1.05664,2.27994,0.48011,0.4878,0.47098,0.35984,3.10243,3.75875,3.84146,0.0006225,0.0006225,0.0006225
50,1082.26,0.84243,1.1122,2.27142,0.51428,0.48918,0.49798,0.35295,3.14845,4.00609,3.8837,0.000618458,0.000618458,0.000618458
51,1102.5,0.79093,1.03941,2.23208,0.48592,0.62575,0.51806,0.37081,3.19954,3.4911,3.82954,0.000614416,0.000614416,0.000614416
52,1123.18,0.84257,1.11696,2.29953,0.52584,0.54879,0.56278,0.4272,2.79124,3.50922,3.43409,0.000610375,0.000610375,0.000610375
53,1144.11,0.80194,1.0662,2.24813,0.5954,0.45771,0.51625,0.36992,3.53079,3.6789,4.06135,0.000606333,0.000606333,0.000606333
54,1165.08,0.82244,1.03905,2.26739,0.48221,0.5959,0.5319,0.37136,3.12352,3.54187,3.72234,0.000602291,0.000602291,0.000602291
55,1186.3,0.82157,1.02748,2.26497,0.50464,0.57239,0.58069,0.45205,3.0378,3.28055,3.67377,0.00059825,0.00059825,0.00059825
56,1207.3,0.80103,1.03439,2.24112,0.48204,0.56371,0.5527,0.39939,3.07435,3.38351,3.68702,0.000594208,0.000594208,0.000594208
57,1228.01,0.79086,1.01471,2.25554,0.5233,0.4708,0.53931,0.38559,3.17018,4.12344,3.76532,0.000590166,0.000590166,0.000590166
58,1248.8,0.77597,1.02394,2.24842,0.54045,0.55967,0.5403,0.36822,3.37976,3.53987,3.9811,0.000586125,0.000586125,0.000586125
59,1269.13,0.79806,1.0416,2.24021,0.41171,0.56655,0.46116,0.32918,3.16429,3.82355,3.89602,0.000582083,0.000582083,0.000582083
60,1289.61,0.76768,1.0049,2.2261,0.47436,0.57105,0.45548,0.31615,3.29332,4.15684,3.98911,0.000578041,0.000578041,0.000578041
61,1310.3,0.77693,1.00863,2.22982,0.38565,0.5544,0.49745,0.36299,3.13775,3.63088,3.74242,0.000573999,0.000573999,0.000573999
62,1330.69,0.76901,1.01814,2.23823,0.4365,0.56822,0.46077,0.32688,3.24009,3.64723,3.86192,0.000569958,0.000569958,0.000569958
63,1351.43,0.79285,1.01373,2.24555,0.46631,0.55065,0.49403,0.36477,3.22357,3.93563,3.86978,0.000565916,0.000565916,0.000565916
64,1371.82,0.75665,1.01396,2.21376,0.45328,0.64565,0.52526,0.40271,2.82069,3.5264,3.47657,0.000561874,0.000561874,0.000561874
65,1392.41,0.76405,1.02949,2.23856,0.5044,0.57494,0.5114,0.36342,2.9558,3.55648,3.60402,0.000557833,0.000557833,0.000557833
66,1412.98,0.7671,0.99593,2.23165,0.83307,0.36177,0.49383,0.34401,3.23871,4.11532,4.0561,0.000553791,0.000553791,0.000553791
67,1433.36,0.76759,0.98373,2.21496,0.44204,0.60861,0.50522,0.37018,2.96541,3.73736,3.56787,0.000549749,0.000549749,0.000549749
68,1453.94,0.75282,1.02064,2.21918,0.45932,0.55376,0.51869,0.38092,3.22983,3.94232,3.94294,0.000545708,0.000545708,0.000545708
69,1474.64,0.79188,1.01538,2.24969,0.54305,0.51618,0.53902,0.36802,3.23773,3.72905,3.82355,0.000541666,0.000541666,0.000541666
70,1495.13,0.7435,0.94366,2.1963,0.4641,0.62749,0.53488,0.39483,2.88002,3.65124,3.51922,0.000537624,0.000537624,0.000537624
71,1515.79,0.74765,0.98557,2.21694,0.39946,0.57864,0.4636,0.32767,3.03553,3.89205,3.74615,0.000533583,0.000533583,0.000533583
72,1536.35,0.76916,0.98466,2.22701,0.52719,0.60672,0.53378,0.40206,2.82166,3.76827,3.51535,0.000529541,0.000529541,0.000529541
73,1556.9,0.74397,0.94846,2.19693,0.52381,0.63153,0.50208,0.34798,2.91046,3.79644,3.57144,0.000525499,0.000525499,0.000525499
74,1578.12,0.71403,0.94067,2.17266,0.45259,0.60734,0.52332,0.35374,3.1387,3.48636,3.70303,0.000521458,0.000521458,0.000521458
75,1598.61,0.7637,0.99227,2.21685,0.53419,0.59195,0.55061,0.38333,3.09256,3.55992,3.70008,0.000517416,0.000517416,0.000517416
76,1619.2,0.74641,0.99133,2.20397,0.45156,0.64807,0.52494,0.36712,2.91656,3.95456,3.51421,0.000513374,0.000513374,0.000513374
77,1639.82,0.74895,0.96656,2.20602,0.5124,0.60216,0.55596,0.37748,3.39402,3.59208,3.96822,0.000509333,0.000509333,0.000509333
78,1660.18,0.73382,0.93436,2.20559,0.50305,0.6155,0.5458,0.38782,3.05251,3.37087,3.63882,0.000505291,0.000505291,0.000505291
79,1680.76,0.7304,0.9232,2.20439,0.5421,0.54259,0.51358,0.36291,3.15018,3.65971,3.72319,0.000501249,0.000501249,0.000501249
80,1701.15,0.73972,0.94922,2.18784,0.38154,0.56729,0.47873,0.32742,3.10785,3.29866,3.61215,0.000497208,0.000497208,0.000497208
81,1721.6,0.73696,0.97008,2.20707,0.5167,0.55293,0.54471,0.35722,3.1247,3.47901,3.73007,0.000493166,0.000493166,0.000493166
82,1742.07,0.73484,0.92827,2.19176,0.56805,0.57774,0.55153,0.39684,3.08048,3.3281,3.65652,0.000489124,0.000489124,0.000489124
83,1762.61,0.72344,0.93307,2.19711,0.5297,0.56903,0.55096,0.36991,2.84894,3.21227,3.51801,0.000485083,0.000485083,0.000485083
84,1783.02,0.72608,0.95337,2.19817,0.69093,0.48408,0.57429,0.39819,3.06122,3.31572,3.64442,0.000481041,0.000481041,0.000481041
85,1803.46,0.73324,0.92378,2.21049,0.54604,0.54342,0.54593,0.36922,2.96764,3.28253,3.55746,0.000476999,0.000476999,0.000476999
