epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,813.002,0.43666,0.52392,1.1332,0.36098,0.60121,0.51979,0.37103,1.69986,2.64177,2.00292,0.007921,0.007921,0.007921
44,830.92,0.43431,0.51121,1.14245,0.49351,0.61984,0.60968,0.41759,1.58132,1.84291,1.8435,0.0078715,0.0078715,0.0078715
45,848.8,0.42175,0.48909,1.13232,0.514,0.66128,0.59928,0.34915,1.64324,1.667,1.88521,0.007822,0.007822,0.007822
46,866.737,0.43842,0.50889,1.14251,0.46727,0.61996,0.47568,0.32976,1.70735,1.82992,1.97089,0.0077725,0.0077725,0.0077725
47,884.595,0.42504,0.49519,1.12957,0.56604,0.5445,0.56401,0.38675,1.74582,1.73442,2.07573,0.007723,0.007723,0.007723
48,902.57,0.43016,0.51136,1.14381,0.4255,0.52379,0.41307,0.30929,1.56811,2.6021,2.03974,0.0076735,0.0076735,0.0076735
49,920.545,0.43432,0.51159,1.14359,0.35967,0.63265,0.50005,0.3352,1.68762,2.09031,2.00343,0.007624,0.007624,0.007624
50,938.393,0.42657,0.50361,1.14117,0.55641,0.59334,0.55315,0.36936,1.59906,1.90325,1.93412,0.0075745,0.0075745,0.0075745
51,956.298,0.4066,0.48809,1.12221,0.3629,0.68766,0.575,0.42748,1.49381,2.24069,1.7865,0.007525,0.007525,0.007525
52,974.213,0.41763,0.4921,1.12338,0.50674,0.64582,0.53591,0.3484,1.64469,1.65464,1.87077,0.0074755,0.0074755,0.0074755
53,992.225,0.42414,0.51696,1.14237,0.41725,0.65917,0.57646,0.37667,1.58787,1.72511,1.84751,0.007426,0.007426,0.007426
54,1010.2,0.41574,0.49653,1.12767,0.47112,0.72345,0.60592,0.41082,1.49111,1.52803,1.79653,0.0073765,0.0073765,0.0073765
55,1028.17,0.40034,0.48305,1.11098,0.43335,0.5055,0.49809,0.37133,1.63079,1.88524,2.0105,0.007327,0.007327,0.007327
56,1046.1,0.41242,0.4893,1.12211,0.49232,0.65594,0.62188,0.42959,1.4863,1.71981,1.80413,0.0072775,0.0072775,0.0072775
57,1063.91,0.40697,0.47416,1.12054,0.62818,0.59362,0.60511,0.39898,1.67983,1.67442,1.90662,0.007228,0.007228,0.007228
58,1082.02,0.40457,0.48332,1.12205,0.50103,0.6357,0.57839,0.41036,1.70909,1.90415,1.98741,0.0071785,0.0071785,0.0071785
59,1100.03,0.38869,0.46724,1.1138,0.44526,0.65104,0.54721,0.34602,1.63356,1.76531,1.86056,0.007129,0.007129,0.007129
