epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1961.29,0.65815,0.7689,2.18167,0.60909,0.69952,0.67394,0.46991,3.0631,2.43906,3.62483,5.98533e-05,5.98533e-05,5.98533e-05
40,2010.26,0.65377,0.81358,2.16032,0.68716,0.62562,0.65352,0.45534,3.22329,2.42521,3.77866,5.94884e-05,5.94884e-05,5.94884e-05
41,2059.51,0.67263,0.80931,2.18717,0.53154,0.60326,0.5965,0.42383,2.86632,2.89368,3.47781,5.91234e-05,5.91234e-05,5.91234e-05
42,2108.73,0.61837,0.75845,2.1486,0.59413,0.64148,0.62011,0.43172,2.85976,2.65292,3.4294,5.87585e-05,5.87585e-05,5.87585e-05
43,2157.74,0.65443,0.80385,2.15764,0.61359,0.6266,0.6055,0.42728,2.90545,2.57719,3.50604,5.83936e-05,5.83936e-05,5.83936e-05
44,2207.18,0.62319,0.75965,2.15061,0.68574,0.67615,0.67858,0.48163,2.98014,2.43712,3.56484,5.80287e-05,5.80287e-05,5.80287e-05
45,2256.41,0.65203,0.8024,2.17453,0.63962,0.6777,0.68812,0.49072,2.95882,2.49066,3.60474,5.76638e-05,5.76638e-05,5.76638e-05
46,2305.42,0.64546,0.772,2.16085,0.57575,0.7167,0.66046,0.49022,2.86535,2.55417,3.50865,5.72989e-05,5.72989e-05,5.72989e-05
47,2354.43,0.6431,0.76748,2.17361,0.71044,0.66971,0.70981,0.51274,2.8588,2.4157,3.44469,5.6934e-05,5.6934e-05,5.6934e-05
48,2403.94,0.64763,0.74331,2.1672,0.60098,0.60046,0.61861,0.40949,3.09142,2.70802,3.59654,5.6569e-05,5.6569e-05,5.6569e-05
49,2453.15,0.65364,0.77612,2.18542,0.52455,0.64615,0.65208,0.49655,2.52827,2.68644,3.19582,5.62041e-05,5.62041e-05,5.62041e-05
50,2502.34,0.64807,0.7814,2.1617,0.69442,0.70185,0.70315,0.51701,2.73322,2.4183,3.38084,5.58392e-05,5.58392e-05,5.58392e-05
51,2551.84,0.59683,0.73437,2.11584,0.63992,0.66168,0.68787,0.50779,2.70037,2.5693,3.30575,5.54743e-05,5.54743e-05,5.54743e-05
52,2601.02,0.64473,0.79746,2.17425,0.67627,0.63187,0.68294,0.49026,2.94918,2.60862,3.52843,5.51094e-05,5.51094e-05,5.51094e-05
53,2650.23,0.62782,0.76149,2.15577,0.68255,0.66908,0.6773,0.4539,3.22228,2.78961,3.76352,5.47445e-05,5.47445e-05,5.47445e-05
54,2699.41,0.64378,0.75843,2.17572,0.59465,0.69182,0.6217,0.45191,2.8679,2.62187,3.47074,5.43796e-05,5.43796e-05,5.43796e-05
55,2748.61,0.62764,0.72807,2.14961,0.60549,0.65579,0.65201,0.49336,2.73488,2.47222,3.47868,5.40146e-05,5.40146e-05,5.40146e-05
56,2797.93,0.63017,0.74222,2.14556,0.64909,0.64253,0.65517,0.46509,2.90798,2.48045,3.51353,5.36497e-05,5.36497e-05,5.36497e-05
