epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1125.87,0.75271,0.87032,2.20802,0.70366,0.6856,0.69621,0.50411,2.92664,2.35635,3.31929,0.00386091,0.00386091,0.00386091
43,1151.05,0.78192,0.89569,2.21525,0.66536,0.65265,0.67657,0.46207,3.12522,2.47465,3.41425,0.00383693,0.00383693,0.00383693
44,1176.39,0.75233,0.86082,2.2005,0.61724,0.70964,0.67416,0.46964,3.05212,2.36734,3.29683,0.00381295,0.00381295,0.00381295
45,1201.99,0.76617,0.88349,2.21301,0.53577,0.73434,0.65799,0.47006,2.96866,2.37093,3.35438,0.00378898,0.00378898,0.00378898
46,1228.15,0.77425,0.87181,2.20159,0.70018,0.68587,0.72316,0.54348,2.71005,2.26477,3.15968,0.003765,0.003765,0.003765
47,1254.59,0.76674,0.86155,2.21856,0.61741,0.66738,0.66756,0.46732,2.89826,2.60489,3.2892,0.00374102,0.00374102,0.00374102
48,1281.08,0.77808,0.85324,2.22922,0.55836,0.68838,0.65774,0.46428,2.89699,2.71817,3.29184,0.00371704,0.00371704,0.00371704
49,1307.22,0.76844,0.87843,2.22601,0.72282,0.65177,0.69438,0.49299,2.73953,2.52487,3.15128,0.00369307,0.00369307,0.00369307
50,1333.59,0.75119,0.87709,2.18707,0.56999,0.61742,0.62336,0.43276,3.06379,2.75025,3.44604,0.00366909,0.00366909,0.00366909
51,1359.8,0.71352,0.82668,2.16592,0.68917,0.65576,0.66603,0.47762,2.78629,2.58072,3.19711,0.00364511,0.00364511,0.00364511
52,1385.76,0.76801,0.91721,2.22604,0.7137,0.57429,0.66076,0.47007,2.75711,2.53307,3.17239,0.00362113,0.00362113,0.00362113
53,1411.04,0.74258,0.88439,2.19812,0.63584,0.61934,0.64456,0.42605,2.93237,2.55613,3.23083,0.00359715,0.00359715,0.00359715
