epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.4175,1.85466,4.74388,3.40927,0.5922,0.40796,0.18731,0.14608,3.01738,6.65988,4.10115,0.0705172,0.00327586,0.00327586
2,139.827,1.29591,2.06438,2.71012,0.27804,0.27276,0.2238,0.14563,3.39732,5.68186,4.32989,0.0404845,0.00657648,0.00657648
3,184.682,1.40889,1.92446,2.75031,0.78333,0.11667,0.17723,0.13355,3.80503,15.5636,5.26031,0.0104188,0.0098441,0.0098441
4,229.813,1.39855,1.86713,2.71891,0.2123,0.2897,0.16839,0.07766,4.22351,11.7248,5.24988,0.0098515,0.0098515,0.0098515
5,275.304,1.47792,1.80798,2.78201,0.22719,0.38619,0.18725,0.06447,4.75171,13.9458,5.85115,0.009802,0.009802,0.009802
6,321.153,1.44676,1.69886,2.78047,0.08257,0.17055,0.08166,0.03346,5.29195,15.6107,6.05478,0.0097525,0.0097525,0.0097525
7,367.157,1.43522,1.64589,2.7595,0.2229,0.35843,0.18686,0.13396,4.33827,7.06271,5.51548,0.009703,0.009703,0.009703
8,413.421,1.36583,1.59957,2.67036,0.16653,0.49891,0.20163,0.08827,4.02466,10.1117,5.20174,0.0096535,0.0096535,0.0096535
9,459.803,1.32936,1.52924,2.64382,0.15323,0.42657,0.19741,0.08826,3.81788,6.28833,4.80968,0.009604,0.009604,0.009604
10,506.034,1.30637,1.53265,2.624,0.18553,0.41035,0.20916,0.11396,3.57653,5.30771,4.60831,0.0095545,0.0095545,0.0095545
11,552.376,1.27609,1.46331,2.60288,0.54438,0.33274,0.17648,0.08552,3.82146,8.2178,5.06076,0.009505,0.009505,0.009505
12,598.829,1.24365,1.45513,2.56765,0.20398,0.47773,0.24847,0.18966,3.39515,10.6429,4.8463,0.0094555,0.0094555,0.0094555
13,645.536,1.23651,1.45717,2.5755,0.59854,0.38433,0.21127,0.10315,3.61959,7.57148,4.65406,0.009406,0.009406,0.009406
14,692.092,1.21019,1.4175,2.53012,0.28786,0.48696,0.34199,0.23364,4.0161,5.78969,5.20725,0.0093565,0.0093565,0.0093565
15,738.678,1.20035,1.37111,2.52393,0.26657,0.39975,0.24338,0.15854,3.74117,5.71935,4.82547,0.009307,0.009307,0.009307
16,785.541,1.17928,1.32837,2.52045,0.55843,0.451,0.31437,0.1721,3.67296,6.57838,4.8294,0.0092575,0.0092575,0.0092575
17,832.097,1.14568,1.30985,2.48649,0.24265,0.46362,0.2849,0.19469,3.69492,8.54409,5,0.009208,0.009208,0.009208
18,878.407,1.10327,1.31136,2.45202,0.36084,0.39002,0.268,0.17869,3.71424,7.77588,4.82959,0.0091585,0.0091585,0.0091585
19,924.881,1.14133,1.34445,2.48877,0.27588,0.4532,0.26167,0.17991,3.34871,5.74325,4.35979,0.009109,0.009109,0.009109
20,971.699,1.12506,1.29745,2.48033,0.29758,0.50978,0.36211,0.24569,3.47351,5.96536,4.6242,0.0090595,0.0090595,0.0090595
21,1018.21,1.03762,1.25256,2.37942,0.28921,0.4885,0.30642,0.19481,3.5913,5.85003,4.58699,0.00901,0.00901,0.00901
22,1064.87,1.05456,1.27812,2.43265,0.36145,0.48856,0.35212,0.22421,3.14152,6.30153,4.33521,0.0089605,0.0089605,0.0089605
23,1111.63,1.0698,1.29173,2.44619,0.28296,0.33086,0.20581,0.10941,3.87228,5.17065,4.99396,0.008911,0.008911,0.008911
24,1157.96,1.06447,1.2353,2.43953,0.33706,0.3497,0.25772,0.14742,3.643,4.87239,4.53201,0.0088615,0.0088615,0.0088615
25,1204.56,1.074,1.30085,2.42684,0.63407,0.4209,0.336,0.20795,3.47785,4.6176,4.42043,0.008812,0.008812,0.008812
26,1251.18,1.0357,1.20244,2.40267,0.28853,0.51524,0.3944,0.28011,3.57803,5.60779,4.79095,0.0087625,0.0087625,0.0087625
27,1297.69,1.0004,1.16719,2.38171,0.24912,0.55955,0.36479,0.24433,3.47302,5.44674,4.46748,0.008713,0.008713,0.008713
28,1344.27,1.04741,1.25897,2.40824,0.71188,0.45747,0.45307,0.3203,3.74323,5.26169,4.80914,0.0086635,0.0086635,0.0086635
29,1390.64,0.97101,1.18006,2.35487,0.31445,0.501,0.31793,0.16642,3.86639,5.15955,4.93858,0.008614,0.008614,0.008614
30,1437.07,0.98444,1.18788,2.37591,0.20077,0.50236,0.25136,0.11576,3.38202,5.55971,4.32398,0.0085645,0.0085645,0.0085645
31,1483.78,0.96682,1.12521,2.34978,0.28746,0.52436,0.39507,0.29567,3.6704,6.28263,4.92256,0.008515,0.008515,0.008515
32,1530.29,0.98091,1.13191,2.3526,0.38022,0.40572,0.3517,0.18175,3.74942,4.36934,4.69763,0.0084655,0.0084655,0.0084655
